Store,Date,Sales,Customers,Mean Temperature
1,02-01-2013,5530,668,6
1,03-01-2013,4327,578,7
1,04-01-2013,4486,619,11
1,05-01-2013,4997,635,9
1,07-01-2013,7176,785,9
1,08-01-2013,5580,654,6
1,09-01-2013,5471,626,5
1,10-01-2013,4892,615,4
1,11-01-2013,4881,592,2
1,12-01-2013,4952,646,1
1,14-01-2013,4717,616,-1
1,15-01-2013,3900,512,1
1,16-01-2013,4008,530,-1
1,17-01-2013,4044,503,0
1,18-01-2013,4127,568,0
1,19-01-2013,5182,688,-2
1,21-01-2013,5394,607,-1
1,22-01-2013,5720,667,-2
1,23-01-2013,5578,627,-1
1,24-01-2013,5195,645,-2
1,25-01-2013,5586,676,-2
1,26-01-2013,5598,640,-2
1,28-01-2013,4055,549,4
1,29-01-2013,3725,522,9
1,30-01-2013,4601,560,14
1,31-01-2013,4709,571,9
1,01-02-2013,5633,658,8
1,02-02-2013,5970,701,7
1,04-02-2013,7032,762,8
1,05-02-2013,6049,678,7
1,06-02-2013,6140,693,2
1,07-02-2013,5499,675,4
1,08-02-2013,5681,630,3
1,09-02-2013,5370,656,1
1,11-02-2013,4409,599,1
1,12-02-2013,4015,572,0
1,13-02-2013,4252,604,2
1,14-02-2013,4241,573,2
1,15-02-2013,4809,607,2
1,16-02-2013,6154,682,4
1,18-02-2013,6407,710,6
1,19-02-2013,5386,608,2
1,20-02-2013,5660,684,2
1,21-02-2013,5261,629,0
1,22-02-2013,5000,599,-2
1,23-02-2013,5237,650,-3
1,25-02-2013,4038,534,2
1,26-02-2013,3794,525,6
1,27-02-2013,4558,579,2
1,28-02-2013,4676,581,5
1,01-03-2013,4611,584,4
1,02-03-2013,5350,678,8
1,04-03-2013,7675,840,11
1,05-03-2013,6300,715,13
1,06-03-2013,5973,678,15
1,07-03-2013,5637,702,16
1,08-03-2013,5853,694,17
1,09-03-2013,5578,734,13
1,11-03-2013,4949,618,1
1,12-03-2013,3853,491,-3
1,13-03-2013,4341,622,0
1,14-03-2013,5108,660,2
1,15-03-2013,4925,677,2
1,16-03-2013,5003,680,8
1,18-03-2013,7072,778,8
1,19-03-2013,6563,719,9
1,20-03-2013,5598,688,9
1,21-03-2013,5179,662,5
1,22-03-2013,5506,694,7
1,23-03-2013,5603,682,3
1,25-03-2013,6729,777,3
1,26-03-2013,6686,747,4
1,27-03-2013,6660,779,6
1,28-03-2013,7285,902,6
1,30-03-2013,7132,773,6
1,02-04-2013,5484,629,8
1,03-04-2013,4625,594,7
1,04-04-2013,4293,566,10
1,05-04-2013,4390,571,4
1,06-04-2013,5075,657,6
1,08-04-2013,6046,695,11
1,09-04-2013,5514,594,11
1,10-04-2013,4903,575,12
1,11-04-2013,4366,541,18
1,12-04-2013,5263,614,16
1,13-04-2013,4773,608,15
1,15-04-2013,3941,526,24
1,16-04-2013,3357,453,22
1,17-04-2013,3649,500,23
1,18-04-2013,2952,432,22
1,19-04-2013,4303,526,14
1,20-04-2013,4350,546,12
1,22-04-2013,5672,623,17
1,23-04-2013,4492,560,19
1,24-04-2013,4309,512,22
1,25-04-2013,3939,532,26
1,26-04-2013,4841,572,20
1,27-04-2013,5726,650,7
1,29-04-2013,5821,641,16
1,30-04-2013,5925,665,13
1,02-05-2013,6486,677,17
1,03-05-2013,6027,658,18
1,04-05-2013,5912,813,17
1,06-05-2013,4568,562,23
1,07-05-2013,4624,540,19
1,08-05-2013,5230,631,23
1,10-05-2013,5409,644,17
1,11-05-2013,5064,640,17
1,13-05-2013,6106,660,13
1,14-05-2013,5083,574,18
1,15-05-2013,4790,576,20
1,16-05-2013,4448,544,18
1,17-05-2013,4856,597,14
1,18-05-2013,4413,535,20
1,21-05-2013,4789,602,15
1,22-05-2013,3559,507,11
1,23-05-2013,4030,536,12
1,24-05-2013,4232,534,12
1,25-05-2013,4408,538,14
1,27-05-2013,5519,606,19
1,28-05-2013,4995,555,22
1,29-05-2013,5784,641,12
1,31-05-2013,7893,795,18
1,01-06-2013,5693,662,17
1,03-06-2013,5422,619,18
1,04-06-2013,5220,558,21
1,05-06-2013,5012,575,23
1,06-06-2013,4881,555,25
1,07-06-2013,4315,541,26
1,08-06-2013,4262,511,26
1,10-06-2013,4291,531,20
1,11-06-2013,3784,500,22
1,12-06-2013,3563,476,23
1,13-06-2013,3661,461,27
1,14-06-2013,4150,529,19
1,15-06-2013,4766,567,22
1,17-06-2013,5337,585,32
1,18-06-2013,4633,554,33
1,19-06-2013,4180,517,35
1,20-06-2013,5011,539,27
1,21-06-2013,5173,542,23
1,22-06-2013,4341,512,23
1,24-06-2013,3549,494,19
1,25-06-2013,4536,528,18
1,26-06-2013,3827,508,17
1,27-06-2013,3593,464,16
1,28-06-2013,4407,568,18
1,29-06-2013,5804,671,21
1,01-07-2013,5614,614,25
1,02-07-2013,5868,614,26
1,03-07-2013,5875,634,19
1,04-07-2013,5701,634,25
1,05-07-2013,4986,603,24
1,06-07-2013,4090,498,27
1,08-07-2013,4475,523,28
1,09-07-2013,4047,503,28
1,10-07-2013,3963,496,27
1,11-07-2013,4053,486,23
1,12-07-2013,4134,514,24
1,13-07-2013,4015,490,26
1,15-07-2013,6377,657,27
1,16-07-2013,5643,582,28
1,17-07-2013,4946,544,29
1,18-07-2013,4904,533,30
1,19-07-2013,4275,495,29
1,20-07-2013,4421,544,28
1,22-07-2013,4149,493,34
1,23-07-2013,3937,497,33
1,24-07-2013,3849,453,28
1,25-07-2013,3502,451,31
1,26-07-2013,4221,516,32
1,27-07-2013,3352,456,37
1,29-07-2013,6290,630,24
1,30-07-2013,5773,630,24
1,31-07-2013,5572,624,27
1,01-08-2013,4994,555,33
1,02-08-2013,4494,562,36
1,03-08-2013,4461,553,31
1,05-08-2013,4086,522,33
1,06-08-2013,3582,477,30
1,07-08-2013,4143,512,28
1,08-08-2013,3680,466,22
1,09-08-2013,3257,418,24
1,10-08-2013,3768,457,26
1,12-08-2013,5326,600,25
1,13-08-2013,5299,573,22
1,14-08-2013,4724,574,22
1,15-08-2013,4575,538,25
1,16-08-2013,4552,527,29
1,17-08-2013,4078,503,29
1,19-08-2013,3954,513,25
1,20-08-2013,3492,475,23
1,21-08-2013,3096,441,25
1,22-08-2013,3703,498,26
1,23-08-2013,3493,445,24
1,24-08-2013,4752,601,26
1,26-08-2013,5482,613,19
1,27-08-2013,5156,556,22
1,28-08-2013,4583,507,23
1,29-08-2013,4804,534,25
1,30-08-2013,5469,612,26
1,31-08-2013,5317,598,22
1,02-09-2013,4195,496,24
1,03-09-2013,3928,507,25
1,04-09-2013,3343,444,28
1,05-09-2013,3883,465,31
1,06-09-2013,3836,466,31
1,07-09-2013,4663,555,23
1,09-09-2013,5893,601,20
1,10-09-2013,5403,599,17
1,11-09-2013,5103,580,17
1,12-09-2013,5079,586,18
1,13-09-2013,5187,559,18
1,14-09-2013,4663,619,18
1,16-09-2013,4249,568,17
1,17-09-2013,3685,502,14
1,18-09-2013,3946,507,14
1,19-09-2013,3717,469,16
1,20-09-2013,3516,494,17
1,21-09-2013,3909,522,18
1,23-09-2013,4770,542,19
1,24-09-2013,4274,492,21
1,25-09-2013,4212,500,19
1,26-09-2013,4481,537,19
1,27-09-2013,4669,548,17
1,28-09-2013,4175,538,18
